company name,index,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台泥,1101,11.01,4.8,25.37,18.72,12.58,5.81,32.05,24.02,15.87,7.24,31.44,22.45,14.3,6.53,32.35,23.93,15.49,7.18
亞泥,1102,8.65,3.88,19.72,14.61,9.59,4.57,23.11,17.03,11.14,4.84,21.29,15.09,9.74,4.23,19.77,14.38,9.26,4.13
嘉泥,1103,2.12,0.84,4.39,3.04,2.19,1.04,6.1,4.36,2.96,1.58,6.61,4.24,2.78,1.15,7.2,4.78,3.63,1.55
環泥,1104,3.66,1.74,8.22,6,4.07,2.11,9.45,6.89,4.6,2.24,8.74,6.23,4.08,2.07,7.99,5.76,3.79,1.91
幸福,1108,5.2,2.46,12.41,9.3,6.5,3.18,12.54,9.22,6.17,3.01,12.03,8.7,5.75,2.97,10.35,7.42,4.94,2.34
信大,1109,5.3,2.31,11.48,8.46,5.42,2.51,11.88,8.62,6.38,2.83,10.81,6.92,4.58,2.18,8.7,6.22,4.15,1.89
東泥,1110,1.38,0.67,3.26,2.41,1.68,0.83,3.65,2.61,1.76,0.87,3.55,2.54,1.66,0.81,2.87,1.97,1.27,0.67
味全,1201,15.8,6.95,39.62,30.43,18.87,8.69,49.41,43.01,27.66,13.07,57.7,44.54,28.21,13.24,56.46,43.07,27.33,12.75
味王,1203,13.09,6.51,27.9,21.48,13.91,6.96,26.49,18.99,12.94,6.31,25.23,19.61,12.91,6.91,25.71,19.58,13.14,6.4
大成,1210,52.92,25.96,114.49,85.92,56.76,29.38,134.22,98.73,64.98,31.81,172.09,124.77,81.05,40.62,166.47,123.06,80.14,40.11
大飲,1213,5.53,2.69,14.31,11.7,6.73,3.55,13.64,11.03,6.3,3.23,13.99,11.49,6.49,3.39,14.1,11.52,6.54,3.32
卜蜂,1215,32.07,15.88,61.77,46.18,29.62,14.96,71.94,53.4,34.76,17.07,78.1,57.77,37,18.88,76.59,56.54,35.92,18.13
統一,1216,37.23,18.77,73.24,56.43,36.95,18.47,76.57,59.02,38.69,19.61,82.08,63.16,40.97,20.3,87.92,66.72,42.86,21.06
愛之味,1217,3.89,1.83,8.25,6.76,3.71,1.76,7.35,6.07,4.02,1.75,9.19,7.32,4.14,1.82,9.82,7.69,4.14,1.94
泰山,1218,11.33,5.36,23.61,18.29,11.46,5.84,26.5,20.79,13.07,6.18,26.83,21.26,14.01,6.97,31.08,23.55,14.29,6.66
福壽,1219,16.67,8.26,30.53,22.36,14.52,7.29,33.67,24.92,16.18,7.85,33.56,24.67,15.98,7.48,34,25.16,15.79,7.73
台榮,1220,8.07,3.65,18.5,13.72,9.04,4.73,21.29,14.11,8.81,4.25,19.97,14.77,9.33,4.58,21.17,16.16,10.3,4.66
福懋油,1225,23.97,11.68,49.77,36.81,24.42,12.43,58.73,43.32,28.63,13.9,72.08,53.81,36.25,17.19,79.34,57.43,36.62,17.57
佳格,1227,14.49,8.5,32.42,24.44,15.68,9.13,30.47,22.08,13.88,7.42,31.05,22.99,14.5,7.73,35.14,26,16.42,8.33
聯華,1229,2.9,1.44,5.97,4.42,2.88,1.41,6.21,4.58,3.02,1.46,6.29,4.6,3.03,1.47,6.04,4.46,2.94,1.47
聯華食,1231,20.94,11.06,43.59,33.04,21.21,11.33,39.79,29.57,18.03,8.71,40.73,30.39,20.07,11.21,43.28,32.9,21,10.93
大統益,1232,51.08,24.55,111.1,83.55,55.89,29.7,136.58,102.17,68.32,34.55,125.32,91.89,61.66,30.52,118.99,88.08,54.46,26.82
天仁,1233,11.87,6.17,23.56,17.57,11.75,6.25,23.74,17.73,11.83,6.15,22.94,16.92,11.04,5.89,22.6,17.05,11.34,5.74
黑松,1234,9.79,4.37,15.83,12.02,7.12,3.31,14.97,11.67,6.73,3.16,16.27,13.24,7.95,3.92,12.8,9.78,5.93,3.13
興泰,1235,1.01,0.33,1.81,1.46,0.83,0.38,3.17,2.68,1.86,0.69,4.62,3.51,2.4,1.07,5.91,4.56,3.08,1.48
宏亞,1236,8.78,5.58,21.39,15.57,10.33,6.52,21.89,16.19,10.45,6.11,24.78,17.17,11.14,6.7,21.79,14.62,8.7,4.98
鮮活果汁-KY,1256,47.98,19.72,88.55,72.01,44.45,18.64,83.15,67.14,42,17.48,98.05,77.56,45.88,19.36,73.86,58.3,35.2,14.06
其祥-KY,1258,33.83,16.9,53.09,37.86,21.73,9.37,38.51,28.7,18.97,9.69,37.03,27.8,18.41,9.55,39.49,29.35,19.55,9.55
安心,1259,71.3,34.46,136.6,103.22,66.8,32.52,131.3,100.97,64.64,31.25,132.91,101.63,65.96,31.9,132.54,101.37,65.17,32.19
綠悅-KY,1262,21.86,10.13,41.89,31.08,20.09,9.47,42.13,31.53,20.81,10.3,43.09,31.32,20.13,10.08,"1,859,268",,,
德麥,1264,60.37,30.75,126.95,92.55,60.46,30.62,124.35,89.29,58.08,28.58,79.77,58.37,38.42,,88.94,,,
台塑,1301,13.76,6.72,30.09,22.89,15.51,7.49,34.02,26.13,17.44,8.17,33.84,25.05,16.7,7.86,32.17,24.14,16.29,8.69
南亞,1303,16.86,8.26,37.8,29.36,20.37,10.03,41.04,30.96,20.26,9.77,39.22,29.07,18.7,9.36,38.3,29.1,19.54,10.09
台聚,1304,25.26,12.36,50.82,38.37,26.33,12.68,57.93,45.3,29.22,13.3,56.52,42,27.07,12.23,53.24,40.48,26.56,13.03
華夏,1305,15.27,7.88,29.56,22.02,15.69,7.82,31.09,24.22,16.46,7.53,31.52,23.8,15.97,7.11,33.35,25.19,16.81,8.48
三芳,1307,14.04,7.72,29.2,21.95,14.31,7.69,29.84,22.24,14.74,7.54,28.81,21.42,14.12,7.16,29.73,22.29,14.51,7.38
亞聚,1308,5.21,2.65,10.23,7.55,5.04,2.5,11.85,9.33,6.2,2.86,12.36,8.78,5.49,2.61,10.2,8.15,5.29,2.85
台達化,1309,23.97,11.26,51.97,40.26,27.78,12.44,63.89,48.57,30.78,13.32,65.43,49.15,30.96,13.4,56.87,42.36,26.37,11.86
台苯,1310,12.83,6.66,24.86,18.5,12.26,4.3,32.26,26.62,18.1,9.96,40.5,29.67,19.39,9.87,37.21,28.04,17.97,9.77
國喬,1312,9.92,4.98,21.8,17.15,12,5.45,26.5,20.41,13.42,6.75,28.63,21.41,14.24,6.51,24.79,19.64,12.2,6.05
聯成,1313,17.03,8,38,29.14,19.78,9.52,46.23,34.8,23.67,11.41,44.92,33.16,21.96,9.92,44.24,33.54,21.71,10.6
中石化,1314,4.95,2.29,11.27,9.26,6.49,3.19,14.33,11.16,7.39,3.93,15.23,11.37,7.33,3.91,16.53,12.59,8.18,4.38
達新,1315,7.18,3.72,14.28,10.85,6.93,3.35,15.66,11.7,7.28,3.31,15.98,12.89,6.69,3.3,16.53,13.21,8.07,3.73
上曜,1316,1.69,0.77,5.15,4.35,3.2,1.3,6.02,4.77,3.38,1.86,9.97,7.63,5.32,2.67,24.11,18.42,11.37,5.62
東陽,1319,19.95,10.08,37.97,27.62,18.76,9.49,35.74,26.37,17.78,8.79,33.17,24.14,16.09,7.81,29.62,21.91,14.37,7.15
大洋,1321,9.66,4.54,20.83,16.55,11.12,5.79,24.31,19.09,12.81,5.85,26.69,19.82,12.92,5.57,24.83,18.46,12.02,6.11
永裕,1323,17.2,8.16,34.84,25.37,16.85,8.41,38.71,28.43,18.46,9.18,38.51,28.52,18.58,9.1,37.09,27.68,18.5,9.12
地球,1324,8.17,3.78,16.96,12.93,8.59,4.2,19.27,14.59,9.68,5.01,19.81,14.49,9.94,5.15,18.16,13.36,8.43,4.13
恒大,1325,5.08,2.59,11.06,8.08,5.62,2.79,12.01,8.11,5.67,2.92,10.82,7.74,5.14,2.66,10.51,7.59,5.05,2.43
台化,1326,26.88,12.97,56.37,42.9,29.35,13.85,68.69,53.4,36.16,17.27,73.16,54.48,35.97,17.39,69.03,51.7,35.94,18.49
恩得利,1333,4.87,2.35,8.3,6.54,4.23,2.21,11.52,8.81,5.81,2.6,11.4,8.57,5.82,2.72,11.91,8.82,5.57,2.65
台翰,1336,12.76,7.11,29.11,19.54,12.56,6.67,33.39,25.44,17.7,8.95,34.2,24.04,15.52,7.94,33.74,25.12,16.45,8.08
再生-KY,1337,10.37,4.65,19.2,12.92,7.55,3.24,21.54,16.84,11.15,4.88,35.93,22.6,13.3,4.8,34.33,25.05,15.89,6.79
廣華-KY,1338,43.89,22.44,98.63,71.95,47.19,23,100.24,72.69,48.93,22.96,93.64,64.45,39.53,18.32,72.59,57.69,38.27,18.41
昭輝,1339,15.36,7.84,29.05,19.79,12.38,5.09,21.84,15.8,11.13,5.47,18.55,13.34,9.42,4.77,17.56,12.57,8.28,4.11
勝悅-KY,1340,13.78,5.8,27.83,19.83,12.41,5.15,35.01,24.51,15,5.86,37.01,25.94,15.95,7.19,35.18,,,
遠東新,1402,19.91,9.64,40.72,30.06,20.36,10,44.88,33.58,22.26,11.1,46.43,34.83,23.07,11.2,46.83,35.41,23.86,12.01
新纖,1409,10.29,5.19,22.54,17.05,11.47,5.61,25.19,18.44,12.14,5.68,24.22,18.71,12.22,5.5,23.85,18.55,12.34,6.1
南染,1410,4.35,2.08,8.75,6.61,4.44,1.98,8.85,6.79,4.32,1.93,6.7,5.04,3.32,1.54,7.3,5.69,3.68,1.57
宏洲,1413,7.5,3.52,19.19,14.45,9.98,4.39,34.82,26.89,18.29,9.49,27.78,21.16,14.06,6.71,23.75,17.61,12.35,6.44
東和,1414,2.14,0.9,4.97,3.85,2.64,1.35,5.97,4.5,2.76,1.5,6.09,4.81,2.98,1.4,6.46,5.03,3.36,1.67
廣豐,1416,16.3,9.82,5.17,4.28,4.12,3.29,4.01,0.52,0.29,0.14,1.16,0.94,0.51,0.13,5.18,4.78,4.57,0.24
嘉裕,1417,4.15,2.35,9.35,6.94,4.6,2.47,8.65,6.3,4.26,2.32,8.73,6.29,4.38,2.19,8.52,6.26,4.21,2.2
東華,1418,7.22,4.05,11.81,8.46,6.01,2.61,16.6,12.01,7.92,3.48,17.74,12.11,7.18,3.92,18.42,14.53,10.48,7.68
新紡,1419,2.05,1.02,3.72,2.59,1.7,0.89,3.93,2.74,1.83,0.91,3.36,2.4,1.57,0.75,3.13,2.15,1.49,0.85
利華,1423,1.9,0.94,3.71,2.83,2.06,0.9,3.99,3.05,1.93,0.88,4.7,3.83,2.55,1.33,5.95,4.79,3.67,1.69
大魯閣,1432,2.3,0.81,2.37,1.55,0.71,0.37,0.82,0.63,0.4,0.17,5.48,4.82,2.96,0.72,10.41,8.86,5.32,1.66
福懋,1434,12.36,6.2,25.49,19.55,13.45,6.56,28.65,21.9,14.87,7.09,28.22,21.37,14.49,6.96,29.91,23.18,15.83,7.81
中福,1435,0.1,0.04,0.24,0.18,0.12,0.06,0.21,0.16,0.1,0.05,0.19,0.14,0.09,0.05,0.19,0.14,0.1,0.05
華友聯,1436,6.52,1,3.89,1.45,0.88,0.72,26.36,22.85,16.71,0.8,1.55,0.03,0.02,0.01,0.08,0.04,0.02,0.01
勤益控,1437,1.57,0.85,3.99,3.13,2.18,1.27,5.39,4.32,3.02,1.57,6.64,4.99,3.36,1.6,7.93,6.1,4.09,1.97
裕豐,1438,0,0,0.23,0.23,0.23,0.23,0.12,0.01,0.01,0.01,0.59,0.48,0.37,0.09,0.28,0.18,0.18,0
中和,1439,2.03,1.15,3.9,2.9,2,1.04,4.61,3.21,1.93,0.81,4.89,3.7,2.4,1.4,8.04,6.08,4.34,2.34
南紡,1440,5.43,2.54,12.99,10.07,6.79,3.19,12.66,9.32,5.96,2.78,13.53,10.27,6.68,3.21,13.93,10.44,6.91,3.44
大東,1441,9.27,4.73,20.42,15.62,10.65,5.46,18.51,12.49,7.17,3.69,14.82,10.97,7.23,3.63,18.09,13.59,9.13,4.7
名軒,1442,4.85,0.71,8.63,5.86,4.32,0.8,6.8,4.11,3.32,1.82,19.06,17.38,14.05,4.64,6.21,5.39,4.76,2.82
立益,1443,4.14,1.98,9.75,7.3,4.69,2.03,12.95,10.41,6.15,2.8,16.86,12.77,7.03,2.9,17.83,14.37,9.09,3.57
力麗,1444,5.12,2.54,11,8.33,5.74,2.92,12.21,9.16,6.19,2.9,13.77,10.48,6.76,3.14,15.65,12.58,6.95,3.66
大宇,1445,6.03,2.85,13.28,9.98,6.7,3.41,13.76,10.12,6.81,3.31,15.05,11.41,7.55,3.29,14.74,11.4,7.54,3.81
宏和,1446,3.43,1.63,6.37,4.78,3.04,1.45,6.06,4.37,2.8,1.49,5.56,4.19,2.96,1.47,5.45,4.09,2.88,1.39
力鵬,1447,8.23,3.84,20.06,15.84,11.59,5.55,28.24,21.87,15.23,7.55,36.85,27.49,18.45,9.45,38.58,29.35,18.72,9.94
佳和,1449,11.82,5.41,25.93,18.43,12.12,5.43,29.24,22.12,13.71,6.51,13.72,9.88,6.7,2.91,22.55,15.35,10.93,5.07
年興,1451,16.56,7.68,32.01,24.09,15.61,6.86,33.03,24.88,16.82,7.69,34.69,26.12,16.8,7.91,30.4,23.07,14.92,6.9
宏益,1452,7.29,3.77,14.94,11.48,8.04,4.35,15.98,11.61,7.65,3.96,16.24,12.03,8.2,4.1,16.35,12.18,7.98,3.99
大將,1453,0.29,0.12,3.62,3.5,3.37,0.35,2.65,2.03,1.13,0.68,3.6,2.12,1.47,0.54,9.16,5.36,2.58,1.05
台富,1454,7.01,3.14,15.61,12.12,8.2,4,16.08,11.99,7.7,3.48,15.84,12.28,8.13,3.75,16.42,12.55,8.55,4.31
集盛,1455,10.28,4.89,24.5,18.79,13.44,6.58,29.7,22.02,15.07,7.36,29.87,21.61,13.83,6.54,28.06,21.44,14.34,7.85
怡華,1456,2.35,1.17,6.05,4.62,2.93,1.47,4.27,3.26,2.31,1.16,5.15,3.48,2.33,1.25,4.52,3.5,2.51,1.33
宜進,1457,8.85,4.52,16.92,11.7,6.84,2.99,16.81,13.2,9.01,4.25,17.45,13.1,8.98,3.92,18.69,14.49,9.93,5.26
聯發,1459,4.5,2.42,12.36,9.26,6.23,3.16,12.89,9.4,6.36,3.21,12.96,9.24,5.74,2.84,12.53,9.53,6.33,3.11
宏遠,1460,9.48,4.86,18.72,13.75,9.07,4.79,18.65,13.34,8.88,4.35,17.47,12.41,8.11,3.97,16.87,12.54,8.61,4.42
強盛,1463,1.62,0.8,3.15,2.35,1.6,0.83,3.3,2.48,1.65,0.8,5.74,4.18,2.69,1.23,4.17,2.98,1.84,0.85
得力,1464,12.88,6.7,29.76,20.59,13.13,6.58,26.55,17.73,11.21,5.49,21.16,14.65,9.59,4.51,20.41,14.62,10.21,4.69
偉全,1465,9.02,4.24,22.25,17.29,11.25,5.05,26.04,19.15,12.44,5.68,30.7,22.82,14.2,6.18,30.61,23.02,15.42,7.25
聚隆,1466,16.2,7.81,36.6,28.05,18.79,9.43,45.09,33.49,21.9,10.59,52.46,38.88,25.83,12.93,54.99,42.52,29.09,15.7
南緯,1467,15.98,7.95,32.78,25.39,15.47,7.79,34.17,25.35,14.93,7.1,43.04,31.62,19.71,9.98,42.27,31.25,19.16,9.34
昶和,1468,2.07,0.95,3.63,2.82,2.24,1.07,3.67,3.1,2.39,1.29,4.78,3.92,2.84,1.27,5.03,4.12,3.21,1.76
理隆,1469,1.5,0.79,3.34,2.74,1.79,0.61,3.81,3.16,2.01,0.87,4.14,3.28,2.01,0.76,4.77,3.89,2.71,0.93
大統染,1470,4.07,2.14,8.88,6.74,4.64,2.33,8.68,6.44,4.61,2.35,7.8,5.65,3.69,1.91,8.12,5.97,4.23,2.12
首利,1471,2.85,1.42,8.64,6.94,4.78,2.59,19.15,15.18,9.81,4.21,28.07,23.07,16.37,7.36,32,24.35,15.67,7.9
三洋紡,1472,4.2,1.86,10.14,7.95,5.26,2.51,13.87,11.01,6.82,3.07,12.7,9.38,6.03,2.96,13.38,10.11,6.17,3.57
台南,1473,33.66,19.49,65.99,48.69,31.01,17.28,62.7,47.37,32.4,18.61,64.09,49.91,34.29,19.12,72.37,55.03,33.57,19.91
弘裕,1474,12.77,6.53,26.96,19.92,13.43,6.5,27.2,19.69,12.8,6.7,27.71,20.57,14.21,7.27,25.62,18.8,12.38,5.92
本盟,1475,1.93,0.89,4.24,3.18,2.05,0.92,4.21,2.94,1.86,0.85,4.22,3.32,2.21,1.01,6.07,5,3.45,1.5
儒鴻,1476,42.45,20.78,97.79,70.03,43.78,18.88,79.86,57.71,35.88,17.16,72.29,50.86,31.1,14.64,55.14,37.11,22.74,11.82
聚陽,1477,52.74,30.52,117.54,89.29,54.13,29.09,109.38,81.27,50.1,27.3,105.94,80.37,49.8,25.42,95.9,73.02,45.18,23.77
士電,1503,19.69,9.46,38.34,28.35,18.65,9.14,38.01,27.9,18.55,8.71,37.7,27.29,16.98,8.2,38.06,29.02,19.45,9.33
東元,1504,12.37,5.9,24.54,18.24,12.06,5.92,27.14,20.79,14.01,6.83,29.15,22.06,14.57,6.83,26.64,19.54,12.98,6.32
正道,1506,6.76,3.38,12.68,9.56,6.59,3.09,12.81,9.44,5.98,2.71,11.73,8.73,5.82,2.84,12.92,9.55,6.32,3.22
永大,1507,24.68,12.44,56.52,43.26,27.59,14.22,58.42,42.06,25.65,12.19,48.73,34.35,21.86,10.12,46.03,34.96,20.56,9.22
瑞利,1512,10.44,5.79,22.53,14.48,9.79,5.28,21.65,15.11,10.12,4.71,20.45,12.71,8.82,4.38,23.02,17.37,11.41,5.46
中興電,1513,14.27,8.32,25.19,17.3,11.07,5.06,27.55,18.73,11.7,4.59,21.49,15.45,9.89,4.7,20.7,14.76,9.63,5.17
亞力,1514,10.47,5.71,17.83,13.28,8.7,3.99,17.13,11.21,7.42,3.21,17.94,13.78,9.83,5.09,19.97,15.14,9.39,4.5
力山,1515,9.66,4.2,19.04,14.23,8.02,4.24,19.87,14.12,8.31,3.73,18.11,13.09,7.75,3.69,18.28,13.02,8.77,3.93
川飛,1516,11.08,5.62,12.9,8.23,4.46,2.26,10.29,7.26,4.65,2.18,5.6,4.03,2.62,1.25,11.13,8.09,4.64,0.89
利奇,1517,6.37,3.08,15.24,11.6,7.87,3.89,17.04,12.41,8.17,4.02,17.01,12.63,8.37,4.03,17.64,13.49,8.95,4.4
華城,1519,11.4,3.97,21.89,13.96,9.06,3.93,19.63,12.43,7.56,3.64,17.05,12.18,8.38,3.48,17.32,11.99,6.53,2.1
大億,1521,36.2,18.79,75.19,56.42,38.72,21.13,65.1,47.87,31.42,15.36,55.14,38.26,24.43,12.59,55.36,40.9,28.35,13.48
堤維西,1522,25.68,13.03,48.23,36.03,24.09,11.96,44.75,33.09,22.08,11.22,52.88,38.51,25.34,12.33,47.89,35.02,23.5,11.26
耿鼎,1524,6.97,3.42,13.83,10.01,6.62,3.29,13.77,9.98,6.68,3.43,13.87,10,6.89,3.36,17.53,13.02,8.78,4.44
江申,1525,8.05,3.57,17.35,13.14,8.8,4.14,17.12,12.12,7.83,3.53,17.71,12.44,7.62,3.51,20.72,16.11,10.63,4.76
日馳,1526,9.18,3.9,18.06,13.79,9.12,3.99,15.12,11.04,7.31,3.45,14.15,10.21,7,3.37,12.87,9.57,6.36,2.95
鑽全,1527,15.34,7.03,25.33,18.9,12.3,6.1,20.51,15.68,9.9,4.72,17.64,13.34,8.21,3.54,16.5,12.94,9.22,4.47
恩德,1528,10.04,4.46,17.73,13.53,9.64,4.42,22.24,16.98,11.83,5.45,21.53,16.97,12.65,4.67,19.58,15.89,10.57,4.95
樂士,1529,0.45,0.32,0.28,0.2,0.17,0.09,0.35,0.28,0.21,0.05,0.5,0.36,0.21,0.07,0.33,0.25,0.2,0.09
亞崴,1530,17.71,7.7,41.38,30.88,20.45,9.91,42.54,30.59,20.16,9.3,32.53,23.63,15.8,7.13,39.9,31.25,20.63,9.99
高林股,1531,6.49,3.56,13.72,10.7,7.08,3.5,14.9,11.45,7.99,4.09,15.63,12.5,8.67,4.22,14.08,11.24,7.9,4.28
勤美,1532,17.93,9.13,45.14,33.04,21.51,11.79,43.02,28.4,19.22,9.37,38.65,28.49,18.61,7.83,42.74,32.03,22.02,10.48
車王電,1533,11.87,5.9,25.95,19.57,12.77,6.06,28.05,21.16,13.86,6.88,24.62,17.93,11.35,5.2,21.48,16.34,10.85,5.3
中宇,1535,35.16,19.47,77.35,57.55,40.67,20.71,83.65,59,41.23,20.04,82.92,62.59,41.5,22.03,95.52,65.52,40.47,19.42
和大,1536,12.25,6.08,22.55,16.43,10.78,5.13,18.03,13.19,8.47,4.17,16.61,12,7.7,3.91,18.09,13.77,9.18,4.57
廣隆,1537,40.93,19.58,84.9,64.06,42.23,20.99,82.93,61.25,39.77,19.17,69.8,51.5,32.69,16.54,72.33,53.62,33.64,15.14
正峰新,1538,4.02,1.96,9.11,7.15,5.13,2.25,10.41,7.96,5.19,2.48,4.74,3.63,2.24,0.98,4.72,3.65,2.59,1.19
巨庭,1539,22.44,11.15,42.17,32.78,21.32,10.37,38.3,30.03,19.8,8.03,29.88,22.13,13.85,6.71,22.63,16.65,11.18,5.58
喬福,1540,3.59,1.8,10.55,8.94,6.41,3.49,14.23,9.98,6.36,3.22,11.83,8.4,5.89,2.39,15.52,13.42,9.51,4.45
錩泰,1541,21.23,10.95,36.65,28.99,16.63,8.48,34.11,25.83,16.64,8.25,23.33,17.64,11.16,4.76,20.2,16.64,11.52,6.59
伸興,1558,46.63,20.24,99.4,76.28,47.56,21.21,103.16,76.83,45.03,20.43,91.74,70.89,40.18,18.46,97.77,75.49,46.2,19.74
中砂,1560,13.75,6.63,28.7,21.98,14.68,7.21,30.89,23.47,15.54,7.29,28.81,21.67,14.15,6.96,27.36,20.44,13.45,6.54
精華,1565,60.7,30.01,116.23,83.81,54.35,26.7,107.33,80.75,54.37,27.46,103.58,75.12,47.81,22.26,82.68,58.66,36.68,18.24
捷邦,1566,37.16,18.17,66.62,46.42,25.97,7.11,35.98,27.45,15.12,7.1,38.42,30.4,18.48,11.06,37.66,27.77,14.45,6
倉佑,1568,12.25,6.14,23.1,16.87,11.11,5.21,21.72,15.76,10.27,5.08,19.81,14.45,9.31,4.76,21.7,,10.71,
濱川,1569,11.76,5.28,25.01,17.89,11.5,5.88,31.62,23.03,13.96,6.42,31.64,23.97,17.78,9.35,47.46,35.73,23.96,10.18
力肯,1570,5.98,3.54,13.65,10.68,6.99,3.4,10.5,8.34,5.41,2.52,11.85,8.67,5.7,2.55,8.58,6.39,4,2.01
新麥,1580,39.76,17.36,84.66,60.05,38.35,17.35,90.48,63.53,37.83,15.88,88.01,60.68,36.08,14.5,81,59.29,36.39,15.06
信錦,1582,29.09,13.66,63.17,47.68,30.12,14.42,67.15,49.41,30.96,13.22,60.53,46.03,29.17,13.05,59.21,45.36,29.86,14.75
程泰,1583,27.29,12.25,71.37,53.41,36.73,18.02,78.15,55.4,35.93,16.24,60.81,44.22,29.27,13.09,69.38,54.21,37.55,17.7
精剛,1584,4.31,2.02,9.85,7.99,5.74,2.73,10.88,8.23,5.47,2.78,13.51,10.44,7.21,3.44,10.71,8.12,5.53,2.79
和勤,1586,15.64,8.13,38.35,27.12,18.65,9.53,37.07,26.85,17.13,8.28,29.44,20.75,13.63,6.5,26.04,19.33,12.91,5.54
永冠-KY,1589,32.92,16.1,68.85,52.39,34.34,15.79,68.7,51.23,34.18,15.6,58.47,41.78,25.61,11.59,52.15,41.09,28.04,12.73
亞德客-KY,1590,29.02,12.68,49.14,37.05,24.06,10.43,49.14,37.16,24.64,10.74,42.82,32.35,20.51,8.49,37.79,28.6,18.82,8.33
駿吉-KY,1591,8.34,3.86,18.95,15.47,11.36,7.13,26.92,19.93,12.95,6.01,27.12,20.4,14.42,7.19,32.32,24.86,16.54,7.72
英瑞-KY,1592,29.9,15.4,52.4,39.69,26.11,13.3,47.78,36.89,25.61,12.2,48.28,36.36,23.74,12.41,46.36,,,
祺驊,1593,12.5,5.94,27.81,20.55,12.74,6.63,32.85,23.94,14.75,6.82,31.49,22.24,13.46,7.06,34.87,24.82,15.27,7.79
川寶,1595,9.98,5.01,28.09,24.44,17.94,9.05,34.18,28.33,20.5,8.68,29.75,25.46,17.64,7.22,32.49,26.44,15.07,5.85
直得,1597,8.21,3.68,18.17,13.63,9.21,4.3,18.04,13.81,8.98,4.07,16.83,12.89,8,3.03,17.35,14,9.31,3.52
岱宇,1598,22.64,12.4,53.83,35.31,23.96,13.29,69.95,,28.45,,54.69,,18,,41.23,,11.92,
宏佳騰,1599,19.53,10.87,61.46,46.45,24.45,8.73,53.64,37.49,20.6,11.02,54.59,41.6,20.89,7.78,54.35,37.24,20.34,10.37
華電,1603,9.1,3.94,13.45,9.71,6.34,2.75,9.26,7.3,5.38,2.5,10.23,6.89,4.59,1.75,9.76,7.13,4.88,2.39
聲寶,1604,12.5,5.59,19.85,15.57,11.12,4.85,20.18,15.8,10.72,4.97,21.53,16.73,11.8,5.54,22.94,18.23,12.46,5.81
華新,1605,20.37,9.6,42.6,31.92,21.63,10.34,45.96,34.79,22.57,10.45,41.56,30.52,20.39,9.63,45.32,33.05,22.53,10.9
華榮,1608,8.16,4.03,20.45,15.08,10.55,5.2,23.38,17.75,11.77,5.88,25.93,19.46,13.14,6.26,31.14,24.44,16.27,7.37
大亞,1609,12.26,5.72,27.54,21.12,13.6,6.73,28.62,21.55,14.16,6.69,30.21,22.75,15.05,7.79,33.01,23.79,16.27,7.83
中電,1611,3.37,1.75,6.75,5.02,3.42,1.78,7.17,5.31,3.69,1.88,8.04,6.44,4.62,2.66,17.75,13.47,8.89,4.25
宏泰,1612,4.87,2.31,9.99,7.56,5,2.57,11.74,9.3,6.38,3.57,13.22,9.63,6.26,3.17,16.38,12.8,8.97,4.63
台一,1613,56.62,26.08,149.55,117.63,77.36,34.68,201.63,149.62,99.44,45.32,193.76,145.05,95.86,45.14,203.22,154.96,104.79,49.52
三洋電,1614,12.02,5.73,20.19,15.87,10.48,4.17,20.43,16.35,9.59,4.01,20.06,15.98,10.47,4.43,21.99,18.7,13.05,6.96
大山,1615,9.49,4.63,21.4,17.14,10.64,5.49,24.39,18.07,12.2,5.83,25.92,18.55,13.01,7.01,34.06,27.68,18.63,8.58
億泰,1616,7.78,3.62,18.41,14.12,9.53,4.94,20.24,15.34,10.57,5.52,18.02,13.14,8.53,3.71,22.73,17.39,11.21,5.15
榮星,1617,8.51,4.19,20.23,15.44,10.57,5.24,25.03,18.89,12.27,5.94,26.45,19.8,13.08,6.38,30.07,23.22,15.38,7.49
合機,1618,4.37,1.7,9.61,5.77,3.34,1.74,7.5,6.32,4.8,2.52,10.52,7.86,5.03,2.49,16.55,12.62,7.81,1.88
艾美特-KY,1626,55.15,23.23,89.25,72.08,56.06,24.1,98.61,78.64,59.2,22.97,105.98,84.88,63.05,24.42,105.02,83.38,64,
中化,1701,9.99,5.06,18.93,14.12,9.51,4.76,17.82,13.21,8.92,4.58,17.41,12.93,8.58,4.26,16.64,12.45,8.34,4.31
南僑,1702,31.69,14.98,62.39,46.25,29.75,14.41,59.78,44.43,28.86,13.55,54.12,40.07,25.52,11.76,48.61,35.77,22.59,10.67
榮化,1704,22.22,10.62,42.17,31.25,19.45,8.78,49.22,40.25,28.32,13.62,58.41,43.9,29.61,15.07,58.32,43.68,28.8,14.72
葡萄王,1707,32.55,15,55.62,40.19,26.93,12.67,48.24,34.74,23.15,10.64,43.3,31.69,21.09,9.43,35.41,25.35,16.43,8.1
東鹼,1708,10.51,5.27,25.14,19.43,12.83,6.34,24.07,17.69,11.67,5.85,24.44,18.08,12.21,6.01,25.25,18.77,12.15,6.07
