company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
神腦,2450,2.91,2.89,2.96,2.25,1.81,2.02,1.43,1.33,0.95,1.34,1.73,3.35,3.61,3.97,4.91,4.26,4.3,4.49,5.82
創見,2451,11.35,12.63,11.04,12.93,13.23,10.91,13.63,13.72,13.37,12.94,13.26,12.25,12.84,14.39,12.33,10.85,11.67,10.9,9.95
凌群,2453,1.25,1.58,0.09,1.66,1.7,1.3,0.48,2.12,2.56,2.92,0.99,1.96,2.28,2.66,1.01,1.55,1.53,1.64,0.48
聯發科,2454,9.13,8.61,8,12.08,14.25,14.41,15.25,21.78,22.83,22.66,22.04,20.2,19.6,18.26,15.58,15.76,14.86,13.58,12.74
全新,2455,23.14,24.8,24.18,24.78,26.99,26.01,25.35,22.59,21.04,17.95,19.78,21.42,22.88,25.37,24.55,20.53,21.69,24.58,23.61
奇力新,2456,12.93,12.4,12.33,11.87,12.08,11.82,12.3,9.19,8.56,7.26,5.85,7,7.25,7.48,7.2,7.27,7.78,7.06,5.03
飛宏,2457,-5.54,-7.61,-7.7,-4.6,-5.6,-7.5,-5.23,1.19,1.36,0.79,0.21,1.25,1.75,0.95,1.43,2.48,2.52,2.27,1.39
義隆,2458,8.93,7.13,6.44,11.19,11.91,11.44,13.16,18.28,18.94,19.25,17.31,18.82,18.93,20.99,20.15,14.98,14.63,13.3,12.02
敦吉,2459,3.61,3.12,3.31,3.84,3.95,3.76,3.56,4.79,5.12,4.83,4.65,3.22,3.45,3.37,4.77,3.54,3.4,3.18,2.69
建通,2460,0.76,0.32,-2.1,-1.11,-1.92,-1.66,-1.42,2.22,2.25,2.15,-2.95,0.37,-0.07,-2.71,-0.6,2.17,2.81,3.43,3.55
光群雷,2461,3.86,3.49,3.42,4.52,4.19,2.48,1.73,4.57,6.44,5.44,5.23,7.56,8.42,9.19,10.64,4.86,5.08,4.18,3.98
良得電,2462,1.89,0.96,0.08,4.23,3.99,1.81,3.43,3.36,3.95,3.59,7.04,4.26,4.05,3.27,4.91,6.12,6.99,7.07,7.38
盟立,2464,5.03,5.52,4.98,6.86,7.11,6.35,6.49,5.55,5.67,5.27,5.46,5.27,5.86,6.58,7.47,3.47,3.1,3.8,2.65
麗臺,2465,-5.98,-6.9,-6.68,1.8,4.58,10.59,29.98,-6.62,-6.43,-7.86,-6.02,-5.06,-5.21,-8.09,-8.5,-5.53,-5.17,-5.17,-4.63
冠西電,2466,-2.33,-2.96,-14.11,-7.48,-5.11,-11.2,-13.09,-9.77,-9.03,-15.79,-10.67,-7.57,-16.64,-12.09,-12.1,-9.42,-3.23,-5.06,1.17
志聖,2467,5.32,4.66,4.87,-21.7,-1.73,-0.69,-7.36,6.11,6.21,6.79,6.02,7.89,8.75,10.82,16.6,6.31,6.47,5.61,3.68
華經,2468,2.93,3.39,2.28,3.94,3.28,2.95,1.91,2.75,1.65,0.97,1.94,2.13,0.5,0.44,0.04,0.43,-0.51,0.41,-3.14
資通,2471,5.46,1.48,6.56,5.96,2.38,0.12,-6.5,9.5,1.66,2.33,8.89,8.12,5.26,10.04,13.92,12.93,12.78,12.64,19.12
立隆電,2472,8.22,8.7,12.1,8.23,9,6.41,7,10.56,10.41,9.12,8.02,7.27,6.16,7.61,7.84,3.21,2.86,2.1,-0.25
可成,2474,22.72,23.39,24.73,30.55,30.7,26.44,26.81,32.36,29.91,27.95,28.68,31.95,34.33,38.43,42.52,29.46,23.26,23.6,32.26
華映,2475,-5.64,-9.56,-29.47,-17.84,-16.33,-9.88,-9.37,-6.48,-2.81,1.16,2.13,-7.15,-10.69,-19.25,-15.88,-23.44,-27.37,-28.62,-21
鉅祥,2476,10.42,10.35,8.22,10,9.69,7.68,7.1,9.86,10.34,10.07,9.42,8.96,8.52,8.59,6.04,10.57,10.51,9.1,7.24
美隆電,2477,9.05,9.08,9.03,6.95,6.65,2.62,3.99,-5.81,-7.03,-2.85,-0.45,24.74,30.41,-1.56,0.65,3.05,2.24,-0.08,-4.13
大毅,2478,5.95,6.32,6.95,6.42,6.84,4.93,5.01,4.47,4.26,3.58,4.8,2.22,3.09,3.08,2.57,3.11,3.83,3.73,1.74
敦陽科,2480,7.81,7.25,6.76,6.09,5.79,5.72,6.09,6.07,6.35,6.2,6.74,7.31,9.91,8.47,8.73,6.23,7.02,7.06,7.47
強茂,2481,5.96,5.91,7.14,2.47,1.8,0.66,-0.15,-0.06,1,0.62,0.24,-5.71,-4.56,-6.32,-7.95,-9.23,-7.78,-8.1,-9.56
連宇,2482,1.79,3.01,4.35,1.67,5.94,3.58,2.55,-1.52,-3.82,-7.38,-2.27,-1.6,0.28,1.02,3.48,0.36,-0.37,0.96,0.7
百容,2483,9.47,9.69,9.94,12.39,14.47,13.1,6.29,11.2,11.52,10.89,10.23,7.85,6.31,5.97,6.31,-1.02,-0.51,-2.37,-7.93
希華,2484,6.37,6.89,1.38,9.16,9.76,7.92,7.06,10.75,9.54,9.57,6.33,5.57,5.58,5.61,4.15,-7.06,-4.52,-6.44,-12.97
兆赫,2485,3.51,4.22,5.32,7.31,7.15,3.83,3.24,7.41,6.71,5.76,9.88,8.91,9.08,10.63,10.95,6.13,7.3,7.82,7.39
一詮,2486,-1.98,-2.49,-2.9,-4.62,-1.94,-2.66,-0.77,2.85,3.15,3.07,3.13,2.89,2.59,2.16,2.81,1.07,2.64,0.86,4.83
漢平,2488,13.09,13.39,13.49,9.96,9.46,8.79,9.48,9.03,8.32,8.13,9.55,11.57,9.83,9.23,8.48,4.03,1.53,0.29,-2.62
瑞軒,2489,9.69,13.3,26.78,8.41,5.24,2.59,2.53,4.81,5.12,5.31,6.06,3.88,3.89,3.98,3.86,3.27,2.89,3.1,2.9
吉祥全,2491,-20.68,-20.75,-20.26,-1.18,-22.05,-22.41,-22.69,23.48,47.71,72.81,59.47,-33.12,-46.68,-65.17,-51.63,-160.76,-153.86,-220.72,-66.9
華新科,2492,12.23,11.04,10.22,7.88,7.91,6.49,4.39,4.42,3.7,0.92,-0.58,-3.73,-4.1,-5.62,-11.67,-11,-9.87,-13.6,-21.55
揚博,2493,14.79,14.49,16.42,13.04,12.93,7.95,8.7,15.89,15.48,17,17.02,11.82,12.81,14.08,14.64,15.11,17.04,16.55,13.47
普安,2495,10.85,10.28,7.74,16.42,15.37,8.83,10.99,10.95,5.82,1.06,5.21,2.78,2,2.36,6.92,5.94,6.82,11.09,12.85
卓越,2496,-6.06,-8.48,8.88,-18.94,-8.69,-10.68,5.08,-83.98,-92.56,-68.77,-37.39,-17.08,-17.37,-1.31,3.52,8.89,-3.15,-14.62,-21.99
怡利電,2497,0.27,1.56,1,6.34,8.05,7.91,11,14.94,13.53,13.45,14.89,10.86,9.79,7.62,6.9,6.64,6.56,6.1,6.36
宏達電,2498,-13.35,-16.85,-17.65,-12.77,-12.67,-10.3,0.87,0.79,0.73,0.38,-5.68,-0.65,-1.02,1.18,0.2,6.09,7.24,7.85,7.09
東貝,2499,0.6,0.75,0.16,2.27,2.99,2.77,2.71,4.13,8.52,7.4,8.6,2.95,4.29,5.26,5.11,1.04,2.86,4.65,5.23
國建,2501,15.66,15.57,10.61,22.28,26.33,29.82,37.77,28.91,13.81,6.93,-10.77,19.46,21.51,23.03,24.66,20.48,20.27,27.63,22.25
國產,2504,-9.93,-8.18,-4.67,-2.13,-0.17,0.27,1.15,3.05,2.7,2.3,1.92,3.52,1.47,0.35,-0.11,1.23,0.84,-0.07,-1.47
國揚,2505,-19.17,-6.82,-76.05,11.27,11.85,14.58,-161.23,3.23,7.56,7.93,12.3,15.9,8.26,7.98,10.87,22.34,12.1,8.11,5.7
太設,2506,18.6,12.27,9.98,9.43,13.9,12.64,16.41,10.33,11.49,-5.84,4.11,21.5,4.71,7.03,-8.36,3.4,2.73,2.92,-0.3
全坤建,2509,-9.52,-11.13,8.79,18.4,-18.45,-192.07,-496.18,-564.14,-559.03,-342.02,-260.81,115.82,137.24,-37.85,-20.33,16.26,17.82,18.24,32.22
太子,2511,7.39,7.55,5.78,13.87,10.54,12.37,7.14,12.25,9.92,9.86,8.48,9.49,-0.87,2.17,4.04,12.12,12.2,17.46,15.68
龍邦,2514,333.94,-115.08,-275.35,-104.41,-954.77,"1,461.39","3,017.05",776.7,2.96,1.02,2.37,0.77,2.1,1.31,5.59,2.33,1.53,1.03,2.56
中工,2515,2.53,0.6,1.59,3.4,11.99,24.64,38.71,3.84,3.32,0.91,1.37,1.92,1.32,0.47,0.22,2.93,2.93,2.65,1.26
新建,2516,4.2,0.93,2.18,1.49,2.16,2.33,3.05,1.27,2.12,2.03,2.89,-0.28,-1.63,-4.22,1.98,1.97,2.08,2.34,1.56
冠德,2520,7.83,6.06,5.34,6.53,0.26,0.16,7.34,23.03,20.22,23.13,25.25,16.75,8.46,14.19,33.76,8.02,5.54,5.98,7.58
京城,2524,15.32,1.56,12.43,13.41,14.87,10.1,17.88,30.03,28.67,18.4,28.14,32.68,32.84,28.82,31.25,37.24,32.61,33.06,35.2
宏璟,2527,13.82,-6.18,3.8,23.32,19.79,15.18,57.65,17.48,19.13,-15.81,5.05,13.46,-31.03,-104.45,-90.12,19.3,10.73,9.85,-66.22
皇普,2528,-13.05,-7.66,"-15,542.42",0.6,-33.71,-22.84,4.87,16.09,17.89,14.4,19.16,8.63,-77.52,-996.13,"-2,633.20","7,458.61","47,274.29","81,135.06","27,135.48"
華建,2530,20.05,21.84,24.51,21.27,7.91,-843.45,-736.41,"-1,879.21","-1,213.39",-999.85,"-1,216.98",-7.9,1.67,12.19,23.59,16.27,32.25,56.36,106.7
宏盛,2534,18.27,21.5,4.88,26.68,27.49,34.95,-24.42,-24.38,-168.28,-137.66,"-1,562.34",-17.52,-919.57,"-1,217.76","-1,033.70",345.8,544.3,671.61,0.57
達欣工,2535,3.76,4.34,4.79,2.74,2.69,2.37,3.4,4.55,5.19,6.93,3.21,5.63,6.43,5.07,7.65,3.92,4.66,4.17,3.91
宏普,2536,29.74,29.98,27.85,29.03,28.44,27.66,29.46,25.3,23.3,19.65,27.55,22.06,7.71,-1.21,18.61,24.78,33.53,33.46,36.9
聯上發,2537,32.02,32.59,32.76,31.08,13.76,18.01,20.96,26.12,27.54,26.1,27.38,24.14,23.31,23.15,27.74,21.4,20.74,25.36,27.92
基泰,2538,-12.8,2.19,33.55,32.83,36.24,34.74,23.55,56.45,60.45,57.58,33.57,34.34,35.48,30.2,231.25,34.76,40.17,41.95,76.63
櫻花建,2539,18.97,19.43,23.94,30.01,32.14,33.84,9.24,29.85,28.72,26.5,10.68,31.75,24.64,25.3,"-1,983.10",20.57,20.87,18.92,23.5
愛山林,2540,26.54,15.62,5.29,25.61,17.1,8.67,14.99,6.7,12.76,6.12,-21.86,39.45,-47.34,"-3,780.63","-2,565.24",-448.48,-350.25,-258.27,"-4,148"
興富發,2542,22.06,26.33,30.6,25.85,19.71,23.01,29.95,28.65,30.5,25.98,22.74,22.82,22.49,23.29,26.57,25.9,22.99,22.61,28.26
皇昌,2543,2.73,3.16,3.26,2.49,3.22,2.85,4.05,5.59,5.18,3.85,2.27,6.89,1.85,0.11,0.06,0.29,0.09,0.27,2.98
皇翔,2545,18.05,17.8,15.56,5.08,-21.15,-15.09,3.05,39.44,40.29,38.33,-197.26,32.18,34.94,38.1,39.52,46.74,47.6,46.32,51.92
根基,2546,2.95,2.24,2.49,2.29,3.33,2.22,1.92,3.22,4.15,4.38,4.64,2.98,3.54,3.81,3.63,1.71,1.41,0.61,2.94
日勝生,2547,-191.24,-237.84,-34.36,-38.07,-35.78,-14.44,-9.63,-10.87,-11.84,-12.28,-4.9,33.39,33.55,-66.36,-57.26,14.66,4.37,8.82,0.9
華固,2548,17.24,-6.9,-13.88,35.28,42.01,44.19,45.25,22.34,-11.87,-43.44,-16.34,30.49,34.36,35.84,38.1,30.34,14.32,16.2,24.68
綠意,2596,38.07,37,-25.95,19.69,17.1,18.53,25.31,28.11,31.22,30.88,30.31,36.56,31.37,34.64,39.94,30.46,24.1,26.91,30.01
潤弘,2597,7.16,4.51,4.31,8.2,8.59,5.88,5.78,9.28,9.27,7.33,7.31,7.99,7.56,6.72,7.07,3.86,2.9,2.31,3.73
益航,2601,-17.63,-12.3,-23.66,-15.76,-15.21,10.21,12.15,5.54,6.74,16.15,18.46,2.34,0.77,-3.71,-2.68,3.31,2.91,3.17,6.01
長榮,2603,-8.26,-10.05,-16.04,-3.54,-0.74,2.58,5.26,1.41,0.9,-2.18,-5.61,-1.47,-2.3,-3.62,-5.86,-0.3,-0.29,-4.6,-15.02
新興,2605,23.44,26.65,32.59,26.94,28.02,25.76,28.69,28.87,30.69,33.11,39.77,41.09,36.01,34.54,35.53,39.22,39.79,38.99,41.41
裕民,2606,-24.04,-37.98,-44.23,10.39,10.33,4.89,3.39,22.85,25.9,22.23,17.09,21.15,16.9,13.28,11.67,23.59,26.15,25.12,27.78
榮運,2607,10.92,11.85,11.01,11.48,11.75,11.79,11.15,10.03,9.15,7.23,8,9.51,9.64,8.76,8.87,8.42,9.82,11.11,10.04
大榮,2608,14.65,16.42,15.01,14.75,15.44,16.34,12.86,11.61,11.58,10.81,11.26,11.96,12.35,11.7,10.31,10.88,10.92,10.48,8.71
陽明,2609,-15.47,-15.39,-13.5,-6.11,-4.07,0.34,0.75,0.32,0.13,-2.09,-5.44,-2.45,-4.73,-9.23,-9.78,0.05,-2.54,-8.73,-20.69
華航,2610,1.9,2.05,4.31,4.09,4.79,4.19,5.06,-0.4,-2.15,-5.07,-7.66,-0.67,0.28,-1.74,-3.33,0.17,0.51,-1.31,-2.59
志信,2611,-2.01,4.03,1.87,2.39,6.33,4.37,7.56,4.31,4.91,-1.91,-0.02,0.7,-5.47,-5.59,0.77,21.5,26.88,34.59,-8.8
中航,2612,5.44,6.91,9.69,9.9,9.17,7.75,17.22,9.53,8.77,7.35,7.73,11.9,13.38,11.82,15.41,15.64,13.85,13.77,22.06
中櫃,2613,1.53,2.72,0.42,0.88,0.13,0.96,-1.11,4.24,4.23,3.61,0.98,3.17,2.34,2.28,0.16,1.92,1.11,-0.02,-3.24
東森,2614,4.48,0.18,-10.65,-20.53,-11.28,-10.52,-15.95,-28.94,-34.01,-42.56,-48.07,-1.97,-2.04,-12.01,-28.49,-29.95,-21.79,-29.87,-38.91
萬海,2615,0.83,1.01,0.11,6.16,8.62,9.4,12.1,7.94,7.31,5.59,4.45,3.59,2.03,1.93,0.82,2.93,3.04,2.56,-2.59
山隆,2616,2.39,2.22,1.88,1.41,1.39,1.29,1.18,1.17,1.15,0.92,0.81,1.31,1.36,1.2,1.25,1.51,1.74,1.69,1.15
台航,2617,-0.82,0.19,1.59,3.5,5.02,3.76,12.5,10.54,9.95,11.96,13.18,19.56,22.12,29.82,38.03,19.89,20.57,22.56,31.3
長榮航,2618,4.73,3.74,3.44,5,6.25,5.9,6.42,-0.59,-0.21,-0.87,-2.57,1.03,1.18,-1.42,-2.67,0.87,1.2,-1.04,-3.33
台灣高鐵,2633,10.4,11.08,11.16,40.22,-2.65,-2.82,-4.12,14.37,,26.63,,9.11,,11.58,,10.53,,10.11,
漢翔,2634,7.35,7.71,7.64,7.55,8.31,6.8,7.25,7.51,6.96,7.66,7.59,5.53,8.16,8.44,,5.52,,6.52,
台驊,2636,1.38,1.18,0.29,3.12,3.19,2.92,1.84,2.12,2.56,1.71,0.65,1.31,1.61,1.22,0.23,0.8,0.7,0.11,-0.92
慧洋-KY,2637,10.85,15.74,30.84,20.43,22.41,20.7,20.72,19.91,17.92,18.42,27.01,17.99,17.01,22.46,27.15,25.65,24.2,29.84,43.45
大車隊,2640,8.43,8.05,10.47,11.11,12.9,14.07,12.69,17.36,17.39,19.11,19.59,19.41,19.26,19.12,18.23,16.47,16.98,15.62,20.47
正德,2641,-2.23,-4.55,-7.5,7.79,3.2,3.97,1.69,7.51,7.01,8.53,9.34,7.37,6.99,6.1,-0.56,5.54,,8.09,
宅配通,2642,3.86,5.19,7.14,3.91,5.36,7.49,6.37,6.07,5.14,6.3,6.62,7.17,6.88,8.01,9.26,9.52,,7.82,
捷迅,2643,5.53,5.13,5.55,3.22,3.21,3.08,2.14,1.79,,1.7,,1.18,,-0.12,,2.03,,,
萬企,2701,106.95,99.01,87.36,82.64,93.34,85.63,67.99,75.33,83.67,77.06,53.69,57.32,62.13,53.11,33.39,61.04,54.36,61.21,42.47
華園,2702,5.11,6.68,6.32,6.54,9.06,9.28,10.57,8.92,8.41,8.69,7.52,5.89,7.06,6.6,9.49,12.83,14.98,16.92,6.09
國賓,2704,11.78,8.86,11.94,11.24,12.77,10.5,12.8,11.79,13.38,10.63,13.45,11.33,12.28,9.31,11.58,9.04,9.21,8.17,8.74
六福,2705,-12.58,-13.14,-8.96,3.95,10.98,15.22,30.05,2.41,-2.78,-7.84,-5.71,-5.6,-9.38,-9.32,-6.35,-3.81,-4.34,-9.54,-7.71
第一店,2706,171.54,160.2,145.89,126.31,145.83,130.11,104.02,107.37,119.72,107.62,77.19,84.12,89.05,74.49,49.92,77.35,68.49,75.87,46.89
晶華,2707,13.1,13.52,14.64,17.73,16.6,17.61,17.37,17.97,16.4,17.33,19.79,19.55,18.5,19.59,21.81,19.56,19.85,20.11,23.32
遠雄來,2712,14.8,10.25,10.54,15.96,17.25,11.95,10.74,16.29,18.35,9.97,4.53,12.54,13.17,1.36,-4.9,12.23,,2.25,
晶悅,2718,4.14,8.22,13.29,12.44,11.37,12.72,16.79,9.55,7.54,9.44,9.37,1.37,6.72,8.79,6.24,11.88,8.73,11.98,13.8
燦星旅,2719,-1.3,-1.34,-0.59,-0.51,0.58,1.46,2.53,0.93,1.33,0.92,2.14,2.02,2.7,2.16,3.44,0.64,1.3,0.3,2.3
夏都,2722,22.71,17.96,11.56,22.03,25.29,18.42,11.01,24.11,27.91,20.22,10.96,21.38,27.74,19.3,7.4,22.76,25.86,17.12,8.12
美食-KY,2723,7.62,6.97,6.94,5.7,5.38,4.06,4.02,3.03,2.53,2.38,4.4,4,4.47,4.68,5.28,7.46,8.43,8.9,10.07
富驛-KY,2724,-57.78,-28.82,-31.19,-16.62,-11.11,-1.97,-23.77,5.68,6.09,3.74,-8.36,5.35,4.45,1.44,-9.1,8.89,10.4,7.78,0.12
雅茗-KY,2726,6.5,5.01,3.58,4.27,4.63,2.68,2.86,3.94,4.43,3.9,4.86,4.62,4.18,1.27,1.76,4.34,,,
王品,2727,3.59,3.03,2.92,1.35,3.2,4.37,5.3,5.25,6.3,6.94,7.92,7.49,8.64,9.24,10.05,9.81,10.41,10.16,10.99
瓦城,2729,8.96,8.74,8.68,8.09,8.97,9.38,9.01,8.72,10.19,10.4,11.47,10.59,12.5,12.63,12.32,9.69,10.25,9.13,8.4
雄獅,2731,1.38,1.64,1.65,2.12,2.5,3.05,3.14,2.17,2.43,2.37,2.4,2.35,2.46,2.27,2.78,1.02,,0.85,
六角,2732,6.19,4.38,4.04,8.36,8.76,7.29,8.63,9.45,8.05,7.82,7.3,12.22,12.17,15.1,,12.5,,13.44,
易飛網,2734,-1.65,-1.03,-1.09,-0.53,-0.32,0.66,1.78,2.92,2.66,2.43,3.23,3.73,3.58,3.6,3.81,1.57,,0.37,
高野,2736,9.38,14.73,24.97,31.79,35.07,43.41,22.1,17.86,19.96,18.86,23.25,14.77,,19.53,,20.89,,24.07,
寒舍,2739,5.44,6.16,8.61,6.81,4.9,6.22,7.83,6.38,6.22,7.76,,7.4,,,,7.1,,,
天蔥,2740,-3.76,-3.63,-3.64,2.98,4.99,5.41,5.01,8.07,,8.23,,9.53,,9.97,,4.26,,,
雲品,2748,14.48,14.99,18.33,14.9,12.7,14.31,16.69,16.94,,,,,,,,,,,
彰銀,2801,32.67,31.75,36.19,30.71,32.51,31.81,31.19,29.94,33.47,33.66,35.95,28.02,30.12,30.58,30.96,25.25,29.63,29.69,27.8
京城銀,2809,58.87,53.45,53.99,45.49,46.9,57.89,54.27,66.23,68.29,71.67,65.97,61.19,59.54,57.19,67.03,51.16,49.57,48.13,45.87
台中銀,2812,25.29,23.89,23.98,25.5,27.85,30.35,30.68,28.33,31.72,32.05,32.76,26.17,29.15,30.28,29.13,26.71,26.72,25.35,26.82
旺旺保,2816,3.09,1.99,3.6,4.44,5.09,10.68,16.23,10.14,12.96,14.74,14.13,10.44,12.86,9.79,11.02,5.59,5.99,5.56,7.5
華票,2820,60.56,65.17,64.01,57.81,58.04,59.4,57.97,53.7,56.26,54,60.7,56.23,64.95,80.91,124.92,46.53,53.52,64.38,40.33
中壽,2823,5.02,5.05,5.47,4.5,6.97,6.29,7.85,3.36,3.92,2.96,3.06,2.89,3.26,3.78,5.28,3.14,3.58,2.77,2.55
台產,2832,11.36,8.26,10.84,22.17,24.54,29.4,20.55,15.93,15.54,16.27,20.79,20.43,20.55,18.22,18.03,19.19,21.37,19.06,22.96
臺企銀,2834,18.9,18.2,18.65,17.39,17.22,17.37,18.57,18.96,18.98,18.69,18.2,13.95,11.58,12.17,11.75,12.9,13.06,12.51,11.46
高雄銀,2836,13.12,12.7,12.77,11.12,11.81,11.76,12.71,9.95,9.34,8.47,10.98,9.08,8.77,8.6,10.15,8.26,8.75,9.4,10.82
聯邦銀,2838,21.99,20.05,21.61,25.36,24.53,22.62,24.64,26.82,26.97,27.07,25.97,26.22,26.32,27.32,26.19,24.31,26.27,27.41,24.47
台開,2841,81.77,227.98,44.67,344.49,62.38,18.43,-174.68,296.51,-60.55,-20.84,5.73,98.6,24.46,32.58,-459.55,44.89,-149.74,-95.1,-134.28
遠東銀,2845,23.4,23.45,24.04,25.93,27.48,26.66,28.8,24.38,26.15,26.3,27.34,21.5,25.94,27.04,27.17,18.35,21.66,22.76,24.51
安泰銀,2849,11,10.53,3.05,33.76,29.22,27.35,25,31.88,31.11,33.69,27.85,26.26,23.79,34.98,33.92,35.28,28.52,26.95,23.85
新產,2850,9.91,8.99,8.03,10.5,11.08,8.85,8.19,9.42,10.54,8.06,10.99,9.67,8.39,8.12,7.82,8.12,7.16,5.98,8.6
中再保,2851,6.16,4.62,2.3,5.44,5.13,6.76,8.18,5.35,5.77,5.68,5.44,4.76,5.85,2.88,4.09,4.73,5.37,5.87,10.58
第一保,2852,8.37,5.6,9.15,3.85,2.88,10.44,10.25,8.46,8.89,6.99,9.9,14.25,15.26,17.41,25.41,13.34,13.59,11.78,10.69
統一證,2855,26.29,14.6,15.73,21.01,18.79,33.92,49.39,30.74,29.9,34.35,30.88,29.6,27.58,23.29,25.84,23.39,24.09,23.23,36.94
元富證,2856,23.27,21.59,6.63,25.39,16.31,19.55,26.25,28.11,24.98,30.95,25.34,18.38,16.96,17.1,26.22,5.99,7.77,7.04,19.11
三商壽,2867,3.19,3.19,0.37,1.74,3.27,3.28,1.49,1.56,1.88,1.07,-1.43,1.63,2.15,2.23,1.12,1.21,2.53,1.19,0.24
華南金,2880,29.65,32.92,32.5,29.88,29.94,31.89,30.88,28.06,28.2,27.75,26.47,24.12,24.83,25.79,25.89,15.61,20.83,17.15,21.83
富邦金,2881,49.3,44.32,32.48,56.9,70.19,76.86,71.95,55.23,66.2,52.59,50.92,46.09,49.89,45.46,51.48,4.94,4.91,3.49,4.22
國泰金,2882,32.8,17.76,21.62,37.94,48.67,56.07,48.35,35.01,42.03,42.79,35.57,29.38,29.68,26.45,22.4,2.12,3.87,1.37,1.46
開發金,2883,32.25,21,24.13,36.17,34.11,41.48,47.08,53.31,57.89,54.44,62.78,56.57,59.16,50.21,44.57,29.34,35.68,37.7,49.35
玉山金,2884,31.61,32.63,33.75,29.36,31.78,31.31,31.18,27.49,29.7,30.57,33.01,26.55,28.16,28.82,30.16,20.92,22.2,22.33,22.19
元大金,2885,30.73,29.05,35.48,31.64,37.89,39.54,44.26,50.74,59.01,82.75,54.22,34.09,33.27,29.27,30.42,20.01,20.15,19.02,27.47
兆豐金,2886,36.32,28.9,46.5,43.16,42.51,45.87,48.88,45.43,48.12,49.48,50.1,39.53,43.73,44.27,46.37,28.32,35.46,31.65,38.95
台新金,2887,32.44,33.16,37.65,32.32,37.72,40.91,43.21,13.68,36.35,37.95,41.06,32.24,35.68,37.87,38.83,24.07,27.53,27.15,27.01
新光金,2888,3.58,-1.81,-12.4,8.93,7.95,18.16,20.45,11.89,15.52,10.11,8.39,17.07,24.63,24.09,51.25,3.2,4.35,4.76,3.65
國票金,2889,50.02,50.94,55.07,31.46,32.33,35.19,39.13,35.07,41.17,48.54,53.17,31.67,25.96,24.56,29.54,25.42,29.74,33.59,30.53
永豐金,2890,25.16,26.67,28.61,27.36,29.89,32.27,36.12,31.86,36.63,35.55,29.59,30.44,31.92,34.02,33.65,24.77,25.63,25.14,27.22
中信金,2891,25.92,23.72,21.26,33.37,32.64,34.09,37.76,43.86,56.17,68.46,38.22,30.71,34.83,37.85,36.27,17.79,17.76,18.43,20.16
第一金,2892,35.43,34.34,34.25,31.25,31.52,32.11,32.91,27.98,30.99,32.99,29.98,24.3,28.2,29.4,27.78,20.24,26.13,26.23,26.12
欣欣,2901,24.2,15.31,18.57,25.62,28.69,19.75,19.62,23.8,25.71,18,18.15,24.14,25.74,18.94,19.27,4.31,4.7,2.84,2.52
遠百,2903,2.19,2.44,3.57,4.79,3.52,1.97,1.82,4.7,4.08,4.31,4.51,6.5,5.43,5.49,8.25,1.99,1.48,1.35,3
匯僑,2904,21.71,23.95,26.36,30.29,32.68,32.58,31.06,28.77,30.42,29.87,30.11,29.21,32.28,33.38,37.75,34.75,36.05,34.38,34.01
三商,2905,2.74,2.67,0.57,1.7,3.11,2.96,1.31,1.49,1.86,1.13,-1.17,1.09,1.36,1.46,0.47,0.98,2.19,1.18,0.7
高林,2906,1.1,0.79,1.05,2.41,3.69,6.6,2.64,3.44,3.12,1.67,1.25,1.25,0.74,0.08,0.66,1.17,1.64,1.96,2.09
特力,2908,2.13,2.3,3.18,1.86,2.07,2.25,3.21,1.99,1.97,2.15,3.06,1.82,1.76,1.92,2.8,2.13,2.35,2.43,2.99
統領,2910,8.2,3.01,5.14,12.03,11.44,12.59,13.56,17.39,19.09,19.37,23.28,15.05,18.29,19.64,24.62,6.55,6.74,6.21,9.56
麗嬰房,2911,-2.53,-2.18,0.74,-0.57,-1.12,-1.51,1.36,-1.01,-2.7,-3.64,-2.07,-0.63,-1.95,-1.6,1.97,2.04,2.18,1.66,3.98
統一超,2912,5.46,5.37,5.32,4.6,4.96,4.86,4.91,5.11,5.64,5.81,6.67,4.61,4.94,4.97,4.69,3.66,3.99,3.77,3.88
農林,2913,67.67,51.34,73.05,81.16,81.59,75.45,74.48,46.52,38.36,30.73,40.26,58.21,56.63,63.73,87.73,41.4,27.91,24.53,15.53
潤泰全,2915,89.36,76.81,104.16,94.43,88.3,76.94,61.96,93.04,92.83,64.23,57.55,103.14,67.63,65.95,53.77,64.09,41.14,68.24,-4.24
滿心,2916,1.68,3.32,5.18,5.83,3.11,5.25,5.76,5.02,1.53,3.51,5.11,3.51,-0.25,1.1,-0.75,1.88,-0.34,1.57,5
鼎固-KY,2923,33.46,37.71,17.78,28.86,22.39,26.94,17.59,40.6,46.51,17.7,19.86,30.2,15.89,16.83,14.77,14.65,12.58,16.33,
東凌-KY,2924,0.14,0.07,0.06,1.9,1.31,1.14,0.95,5.58,4.9,4.44,4.14,8.59,7.99,7.83,7.95,10.06,9.82,9.37,8.79
誠品生活,2926,10.97,10.83,12.18,10.76,10.24,10.26,12.09,10.51,9.32,9.26,10.87,8.79,9.46,9.17,10.2,2.67,3.13,3.09,
